"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"September 2019","Fareham West","E05004520","Male","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Fareham West","E05004520","Female","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"September 2019","Fareham West","E05004520","Female","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Fareham West","E05004520","Female","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Hill Head","E05004521","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"September 2019","Hill Head","E05004521","Total","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Hill Head","E05004521","Total","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Hill Head","E05004521","Male","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"September 2019","Hill Head","E05004521","Male","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Hill Head","E05004521","Male","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Hill Head","E05004521","Female","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"September 2019","Hill Head","E05004521","Female","Aged 18-24","Claimant count","Value",0,"Normal Value"
"September 2019","Hill Head","E05004521","Female","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Locks Heath","E05004522","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"September 2019","Locks Heath","E05004522","Total","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Locks Heath","E05004522","Total","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Locks Heath","E05004522","Male","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"September 2019","Locks Heath","E05004522","Male","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Locks Heath","E05004522","Male","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Locks Heath","E05004522","Female","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"September 2019","Locks Heath","E05004522","Female","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Locks Heath","E05004522","Female","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Park Gate","E05004523","Total","All categories: Age 16+","Claimant count","Value",60,"Normal Value"
"September 2019","Park Gate","E05004523","Total","Aged 18-24","Claimant count","Value",15,"Normal Value"
"September 2019","Park Gate","E05004523","Total","Aged 25-29","Claimant count","Value",10,"Normal Value"
"September 2019","Park Gate","E05004523","Male","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"September 2019","Park Gate","E05004523","Male","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Park Gate","E05004523","Male","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Park Gate","E05004523","Female","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"September 2019","Park Gate","E05004523","Female","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Park Gate","E05004523","Female","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester East","E05004524","Total","All categories: Age 16+","Claimant count","Value",55,"Normal Value"
"September 2019","Portchester East","E05004524","Total","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Portchester East","E05004524","Total","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester East","E05004524","Male","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"September 2019","Portchester East","E05004524","Male","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester East","E05004524","Male","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester East","E05004524","Female","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"September 2019","Portchester East","E05004524","Female","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester East","E05004524","Female","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester West","E05004525","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"September 2019","Portchester West","E05004525","Total","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Portchester West","E05004525","Total","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester West","E05004525","Male","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"September 2019","Portchester West","E05004525","Male","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester West","E05004525","Male","Aged 25-29","Claimant count","Value",0,"Normal Value"
"September 2019","Portchester West","E05004525","Female","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"September 2019","Portchester West","E05004525","Female","Aged 18-24","Claimant count","Value",5,"Normal Value"
"September 2019","Portchester West","E05004525","Female","Aged 25-29","Claimant count","Value",0,"Normal Value"
