"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"September 2019","Clackmannanshire Central","S13002877","Male","All categories: Age 16+","Claimant count","Value",170,"Normal Value"
"September 2019","Clackmannanshire Central","S13002877","Male","Aged 18-24","Claimant count","Value",50,"Normal Value"
"September 2019","Clackmannanshire Central","S13002877","Male","Aged 25-29","Claimant count","Value",25,"Normal Value"
"September 2019","Clackmannanshire Central","S13002877","Female","All categories: Age 16+","Claimant count","Value",105,"Normal Value"
"September 2019","Clackmannanshire Central","S13002877","Female","Aged 18-24","Claimant count","Value",25,"Normal Value"
"September 2019","Clackmannanshire Central","S13002877","Female","Aged 25-29","Claimant count","Value",15,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Total","All categories: Age 16+","Claimant count","Value",405,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Total","Aged 18-24","Claimant count","Value",85,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Total","Aged 25-29","Claimant count","Value",65,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Male","All categories: Age 16+","Claimant count","Value",230,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Male","Aged 18-24","Claimant count","Value",55,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Male","Aged 25-29","Claimant count","Value",35,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Female","All categories: Age 16+","Claimant count","Value",175,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Female","Aged 18-24","Claimant count","Value",30,"Normal Value"
"September 2019","Clackmannanshire South","S13002878","Female","Aged 25-29","Claimant count","Value",30,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Total","All categories: Age 16+","Claimant count","Value",135,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Total","Aged 18-24","Claimant count","Value",35,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Total","Aged 25-29","Claimant count","Value",20,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Male","All categories: Age 16+","Claimant count","Value",85,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Male","Aged 18-24","Claimant count","Value",25,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Male","Aged 25-29","Claimant count","Value",15,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Female","All categories: Age 16+","Claimant count","Value",50,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Female","Aged 18-24","Claimant count","Value",10,"Normal Value"
"September 2019","Clackmannanshire East","S13002879","Female","Aged 25-29","Claimant count","Value",5,"Normal Value"
"September 2019","Stranraer and the Rhins","S13002880","Total","All categories: Age 16+","Claimant count","Value",440,"Normal Value"
"September 2019","Stranraer and the Rhins","S13002880","Total","Aged 18-24","Claimant count","Value",95,"Normal Value"
"September 2019","Stranraer and the Rhins","S13002880","Total","Aged 25-29","Claimant count","Value",65,"Normal Value"
